image_name,algorithm,processing_time_s,area,perimeter,circularity,hull_area,solidity,aspect_ratio
000d9c59687b509b_jpg.rf.c338360b3dfe1953a5d266ee861d7e79.jpg,Global Shape Descriptors,0.0064,55164.5,2596.3586,0.1028,78300.0,0.7045,1.1865
000d9c59687b509b_jpg.rf.c338360b3dfe1953a5d266ee861d7e79.jpg,Active Contour,2.3096,55198.0,1196.337,0.4846,61886.0,0.8919,1.0719
0026df6bcaf93ac5_jpg.rf.510f06f5d706b8924f3a8a411211dcf8.jpg,Global Shape Descriptors,0.0001,27767.5,2091.325,0.0798,65038.0,0.4269,0.6172
0026df6bcaf93ac5_jpg.rf.510f06f5d706b8924f3a8a411211dcf8.jpg,Active Contour,2.307,14012.0,824.3988,0.2591,27884.0,0.5025,0.8487
0048a9ad59d8ab79_jpg.rf.8a324bb752732a70e2bc846b44c96d19.jpg,Global Shape Descriptors,0.0001,33445.0,1037.4356,0.3905,37906.5,0.8823,0.8313
0048a9ad59d8ab79_jpg.rf.8a324bb752732a70e2bc846b44c96d19.jpg,Active Contour,1.0351,30113.0,692.5935,0.7889,31374.0,0.9598,0.8225
0055f7e5bac0c8e1_jpg.rf.7bb1d953a097322150e11573b6e58e65.jpg,Global Shape Descriptors,0.0001,95735.0,2115.8276,0.2687,109040.5,0.878,1.3908
0055f7e5bac0c8e1_jpg.rf.7bb1d953a097322150e11573b6e58e65.jpg,Active Contour,1.2516,37958.5,890.8082,0.6011,43225.0,0.8782,1.2128
00568c421d1592fa_jpg.rf.0d1f5010cce3b13ee245a6c5d616bf2a.jpg,Global Shape Descriptors,0.0001,26385.0,1633.9108,0.1242,67175.0,0.3928,1.1108
00568c421d1592fa_jpg.rf.0d1f5010cce3b13ee245a6c5d616bf2a.jpg,Active Contour,0.972,7936.0,848.8609,0.1384,23017.0,0.3448,2.7419
